model;n_params;loss;acc;info;path
CNN;653386;1.135088562965393;0.6148444414138794;{'Data Augmentation': 'No', 'Regularization': 'No', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn1.keras
CNN;653386;1.1149600744247437;0.6213777661323547;{'Data Augmentation': 'No', 'Regularization': 'No', 'Optimizer': 'Adam', 'Learning Rate': 0.0001, 'Batch Size': 32};cnn2.keras
CNN;653386;1.0352009534835815;0.6413221955299377;{'Data Augmentation': 'No', 'Regularization': 'Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn3.keras
CNN;653386;1.425990343093872;0.5720555782318115;{'Data Augmentation': 'No', 'Regularization': 'L2', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn4.keras
CNN;653386;1.4350202083587646;0.5671555399894714;{'Data Augmentation': 'No', 'Regularization': 'L2 + Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn5.keras
CNN;653386;1.0233269929885864;0.6427333354949951;{'Data Augmentation': 'No', 'Regularization': 'Gradient Clipping + Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn6.keras
CNN;653386;1.4474912881851196;0.4909333288669586;{'Data Augmentation': 'Type 1', 'Regularization': 'No', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn7.keras
CNN;653386;1.5722006559371948;0.481677770614624;{'Data Augmentation': 'Type 1', 'Regularization': 'No', 'Optimizer': 'Adam', 'Learning Rate': 0.0001, 'Batch Size': 32};cnn8.keras
CNN;653386;1.4400715827941895;0.4882444441318512;{'Data Augmentation': 'Type 1', 'Regularization': 'Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn9.keras
CNN;653386;1.6694637537002563;0.4537777900695801;{'Data Augmentation': 'Type 1', 'Regularization': 'L2', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn10.keras
CNN;653386;1.7883648872375488;0.4049888849258423;{'Data Augmentation': 'Type 1', 'Regularization': 'L2 + Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn11.keras
CNN;653386;1.4170453548431396;0.5094444155693054;{'Data Augmentation': 'Type 1', 'Regularization': 'Gradient Clipping + Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn12.keras
CNN;653386;1.1282362937927246;0.6046555638313293;{'Data Augmentation': 'Type 2', 'Regularization': 'No', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn13.keras
CNN;653386;1.1674840450286865;0.594955563545227;{'Data Augmentation': 'Type 2', 'Regularization': 'No', 'Optimizer': 'Adam', 'Learning Rate': 0.0001, 'Batch Size': 32};cnn14.keras
CNN;653386;1.1103984117507935;0.6137111186981201;{'Data Augmentation': 'Type 2', 'Regularization': 'Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn15.keras
CNN;653386;1.4520646333694458;0.5403666496276855;{'Data Augmentation': 'Type 2', 'Regularization': 'L2', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn16.keras
CNN;653386;1.4925700426101685;0.5199777483940125;{'Data Augmentation': 'Type 2', 'Regularization': 'L2 + Dropout', 'Optimizer': 'Adam', 'Learning Rate': 0.001, 'Batch Size': 256};cnn17.keras
