epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.36628797344741715,0.5378341674804688,0.8713312168814781,0.8694485903016498,0.8382618919204285,0.9298504070455376,0.881683999222016,0.9496181255646798
2,0.26672922179589686,0.38771957574888716,0.9251202336583738,0.9242015589698598,0.9060323081605232,0.9536761349571683,0.9292439285206469,0.9808038791781152
3,0.18630100823871237,0.41658645452455034,0.926304454406522,0.9250623185753396,0.8994647357021877,0.9649147575295036,0.9310409179109743,0.9822146615179201
4,0.15274995265227698,0.37832801286564316,0.9433565150746601,0.9429168808377366,0.9346769182255775,0.9570220182545315,0.9457174959992092,0.9873880469965848
5,0.11689792880061642,0.30323245913483377,0.9478639308164399,0.9480292375701469,0.9555572525158149,0.9427255685627516,0.9490980418401508,0.989400569655272
6,0.09474872435339998,0.28105613797209983,0.9521219682088302,0.9521345166799344,0.9552419096056614,0.9517319140288424,0.953483681550324,0.9908099094406112
7,0.07472563032973592,0.2805410429488781,0.9562223488698657,0.9561200418946894,0.9558526799540058,0.9594024385379915,0.9576242696617853,0.9908187115340944
8,0.05976312981915074,0.28544448142827944,0.9568777830656433,0.9566170658506106,0.9520329636354438,0.9649818651226011,0.9584636812666832,0.9905019435236048
9,0.05449443466170351,0.29594476832899935,0.9569786442043362,0.9572547317685662,0.9675192820153791,0.9483967932699947,0.957862608208033,0.9907698857672707
10,0.0511890820526736,0.331710371860238,0.9584788312380982,0.9583776288482295,0.9580019501414673,0.9616245861962214,0.9598098499279165,0.9896329606822677
